Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,320.000000,320.000000,290.000000,320.000000,320.000000,922992200
2022-01-26,330.000000,350.000000,298.000000,298.000000,298.000000,402828100
2022-01-27,278.000000,308.000000,278.000000,302.000000,302.000000,256881600
2022-01-28,302.000000,308.000000,292.000000,298.000000,298.000000,79465700
2022-01-31,298.000000,302.000000,284.000000,288.000000,288.000000,89356000
2022-02-02,292.000000,306.000000,284.000000,304.000000,304.000000,92766200
2022-02-03,304.000000,308.000000,296.000000,298.000000,298.000000,28448000
2022-02-04,298.000000,300.000000,290.000000,296.000000,296.000000,19120700
2022-02-07,298.000000,302.000000,292.000000,292.000000,292.000000,28391200
2022-02-08,294.000000,296.000000,282.000000,286.000000,286.000000,41175400
2022-02-09,286.000000,292.000000,280.000000,282.000000,282.000000,21361400
2022-02-10,282.000000,284.000000,264.000000,272.000000,272.000000,66097300
2022-02-11,272.000000,278.000000,264.000000,272.000000,272.000000,15467800
2022-02-14,272.000000,272.000000,260.000000,264.000000,264.000000,26024900
2022-02-15,264.000000,278.000000,262.000000,270.000000,270.000000,26986100
2022-02-16,272.000000,292.000000,272.000000,278.000000,278.000000,49914500
2022-02-17,278.000000,280.000000,266.000000,268.000000,268.000000,34094700
2022-02-18,266.000000,272.000000,262.000000,266.000000,266.000000,12144400
2022-02-21,266.000000,274.000000,264.000000,266.000000,266.000000,12029100
2022-02-22,262.000000,268.000000,258.000000,258.000000,258.000000,42181000
2022-02-23,258.000000,264.000000,256.000000,260.000000,260.000000,22939900
2022-02-24,260.000000,268.000000,252.000000,260.000000,260.000000,48494400
2022-02-25,260.000000,272.000000,258.000000,266.000000,266.000000,31527300
2022-03-01,266.000000,270.000000,262.000000,268.000000,268.000000,15186200
2022-03-02,268.000000,270.000000,260.000000,260.000000,260.000000,16496800
2022-03-04,260.000000,262.000000,254.000000,256.000000,256.000000,43017200
2022-03-07,258.000000,258.000000,240.000000,250.000000,250.000000,62005400
2022-03-08,252.000000,254.000000,238.000000,240.000000,240.000000,30773700
2022-03-09,242.000000,256.000000,242.000000,250.000000,250.000000,15512200
2022-03-10,252.000000,256.000000,248.000000,248.000000,248.000000,5219700
2022-03-11,248.000000,252.000000,246.000000,246.000000,246.000000,7925200
2022-03-14,246.000000,246.000000,246.000000,246.000000,246.000000,0
2022-03-15,256.000000,258.000000,248.000000,250.000000,250.000000,7812700
2022-03-16,252.000000,254.000000,246.000000,248.000000,248.000000,5120500
2022-03-17,248.000000,274.000000,248.000000,260.000000,260.000000,46949100
2022-03-18,260.000000,268.000000,256.000000,260.000000,260.000000,15687100
2022-03-21,260.000000,266.000000,256.000000,256.000000,256.000000,10978400
2022-03-22,262.000000,262.000000,254.000000,258.000000,258.000000,6743500
2022-03-23,262.000000,282.000000,254.000000,276.000000,276.000000,48646000
2022-03-24,276.000000,278.000000,268.000000,270.000000,270.000000,22566800
2022-03-25,274.000000,276.000000,264.000000,270.000000,270.000000,20744000
2022-03-28,272.000000,274.000000,262.000000,262.000000,262.000000,17507100
2022-03-29,264.000000,266.000000,258.000000,260.000000,260.000000,6301600
2022-03-30,260.000000,264.000000,256.000000,258.000000,258.000000,22491700
2022-03-31,258.000000,268.000000,258.000000,260.000000,260.000000,23688700
2022-04-01,260.000000,266.000000,256.000000,256.000000,256.000000,15202600
2022-04-04,258.000000,260.000000,246.000000,248.000000,248.000000,38705300
2022-04-05,250.000000,252.000000,234.000000,236.000000,236.000000,44290200
2022-04-06,236.000000,244.000000,224.000000,240.000000,240.000000,51590500
2022-04-07,240.000000,248.000000,234.000000,234.000000,234.000000,39103900
2022-04-08,234.000000,238.000000,226.000000,226.000000,226.000000,35547700
2022-04-11,232.000000,232.000000,212.000000,212.000000,212.000000,45706400
2022-04-12,212.000000,218.000000,198.000000,202.000000,202.000000,64033300
2022-04-13,204.000000,212.000000,200.000000,208.000000,208.000000,57124500
2022-04-14,210.000000,238.000000,204.000000,216.000000,216.000000,109669400
2022-04-18,220.000000,270.000000,216.000000,270.000000,270.000000,396171700
2022-04-19,270.000000,296.000000,262.000000,276.000000,276.000000,333543600
2022-04-20,278.000000,288.000000,268.000000,278.000000,278.000000,150003800
2022-04-21,280.000000,290.000000,262.000000,264.000000,264.000000,140276700
2022-04-22,262.000000,270.000000,252.000000,254.000000,254.000000,81118700
2022-04-25,254.000000,262.000000,238.000000,248.000000,248.000000,73175600
2022-04-26,250.000000,258.000000,232.000000,232.000000,232.000000,123434500
2022-04-27,226.000000,234.000000,218.000000,220.000000,220.000000,64116200
2022-04-28,220.000000,246.000000,220.000000,234.000000,234.000000,83378300
2022-05-09,236.000000,236.000000,218.000000,218.000000,218.000000,53767900
2022-05-10,216.000000,218.000000,204.000000,204.000000,204.000000,70194000
2022-05-11,204.000000,208.000000,200.000000,204.000000,204.000000,55251300
2022-05-12,206.000000,206.000000,190.000000,190.000000,190.000000,45732700
2022-05-13,190.000000,204.000000,177.000000,204.000000,204.000000,78019000
2022-05-17,202.000000,210.000000,198.000000,198.000000,198.000000,58194000
2022-05-18,198.000000,206.000000,198.000000,202.000000,202.000000,48716400
2022-05-19,204.000000,204.000000,190.000000,196.000000,196.000000,60362500
2022-05-20,197.000000,202.000000,195.000000,198.000000,198.000000,45472800
2022-05-23,200.000000,214.000000,197.000000,199.000000,199.000000,72939600
2022-05-24,200.000000,202.000000,193.000000,193.000000,193.000000,41440300
2022-05-25,193.000000,196.000000,185.000000,187.000000,187.000000,33457700
2022-05-27,188.000000,204.000000,188.000000,200.000000,200.000000,76465000
2022-05-30,202.000000,204.000000,196.000000,198.000000,198.000000,47469700
2022-05-31,200.000000,202.000000,193.000000,195.000000,195.000000,45843000
2022-06-02,195.000000,197.000000,188.000000,188.000000,188.000000,46443900
2022-06-03,188.000000,192.000000,185.000000,186.000000,186.000000,41279900
2022-06-06,187.000000,189.000000,180.000000,180.000000,180.000000,47634300
2022-06-07,182.000000,184.000000,180.000000,184.000000,184.000000,36411500
2022-06-08,185.000000,195.000000,185.000000,190.000000,190.000000,51956100
2022-06-09,192.000000,197.000000,186.000000,189.000000,189.000000,59760200
2022-06-10,190.000000,190.000000,178.000000,179.000000,179.000000,49852200
2022-06-13,177.000000,177.000000,167.000000,167.000000,167.000000,38523000
2022-06-14,167.000000,167.000000,158.000000,160.000000,160.000000,40001000
2022-06-15,160.000000,164.000000,150.000000,150.000000,150.000000,52951300
2022-06-16,151.000000,181.000000,151.000000,155.000000,155.000000,204178200
2022-06-17,150.000000,162.000000,150.000000,155.000000,155.000000,62856800
2022-06-20,156.000000,156.000000,145.000000,150.000000,150.000000,70069700
2022-06-21,151.000000,162.000000,149.000000,157.000000,157.000000,54765300
2022-06-22,157.000000,167.000000,151.000000,152.000000,152.000000,74420300
2022-06-23,153.000000,162.000000,153.000000,157.000000,157.000000,60836200
2022-06-24,158.000000,176.000000,157.000000,165.000000,165.000000,148850800
2022-06-27,167.000000,169.000000,156.000000,156.000000,156.000000,71538800
2022-06-28,156.000000,161.000000,151.000000,154.000000,154.000000,52923000
2022-06-29,154.000000,158.000000,151.000000,152.000000,152.000000,38496100
2022-06-30,153.000000,156.000000,142.000000,142.000000,142.000000,74934000
2022-07-01,143.000000,143.000000,133.000000,133.000000,133.000000,44265400
